year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2008,3/12/2008,Northbound,Light Vehicles,84,31,22,31,76,370,1434,2457,2797,1733,1147,921,954,968,909,1134,1195,1391,1215,837,535,501,436,201,0,0
2008,3/12/2008,Northbound,Heavy Vehicles,3,2,6,8,7,23,83,96,101,96,84,61,50,69,50,59,34,26,15,11,11,9,4,2,0,0
2008,3/12/2008,Southbound,Heavy Vehicles,6,4,3,8,3,18,37,41,54,63,82,77,63,81,80,75,69,54,39,11,8,8,8,3,0,0
2008,3/12/2008,Southbound,Light Vehicles,189,83,78,50,63,287,729,1189,1319,1104,1086,1129,1124,1111,1423,1696,2134,2472,2259,1237,845,815,612,396,0,0
2008,3/12/2008,Northbound,All Vehicles,87,33,28,39,83,393,1517,2553,2898,1829,1231,982,1004,1037,959,1193,1229,1417,1230,848,546,510,440,203,0,0
2008,3/12/2008,Southbound,All Vehicles,195,87,81,58,66,305,766,1230,1373,1167,1168,1206,1187,1192,1503,1771,2203,2526,2298,1248,853,823,620,399,0,0
2008,4/12/2008,Southbound,Light Vehicles,208,107,76,53,62,262,733,1167,1300,1108,1022,1120,1196,1127,1442,1732,2026,2331,1994,1230,885,848,745,385,0,0
2008,4/12/2008,Southbound,Heavy Vehicles,4,3,1,9,6,26,48,38,44,61,71,63,70,70,83,73,56,64,30,16,10,9,7,3,0,0
2008,4/12/2008,Northbound,Light Vehicles,83,40,25,34,75,358,1410,2488,2750,1646,1091,969,1026,1000,951,1221,1151,1346,1278,731,524,465,401,279,0,0
2008,4/12/2008,Northbound,Heavy Vehicles,2,3,8,8,5,29,88,94,108,86,77,65,70,60,53,41,37,31,20,5,4,4,4,4,0,0
2008,4/12/2008,Southbound,All Vehicles,212,110,77,62,68,288,781,1205,1344,1169,1093,1183,1266,1197,1525,1805,2082,2395,2024,1246,895,857,752,388,0,0
2008,4/12/2008,Northbound,All Vehicles,85,43,33,42,80,387,1498,2582,2858,1732,1168,1034,1096,1060,1004,1262,1188,1377,1298,736,528,469,405,283,0,0
2008,5/12/2008,Southbound,Heavy Vehicles,8,3,5,3,10,12,53,42,62,62,74,72,83,86,66,76,50,42,59,20,10,17,7,8,0,0
2008,5/12/2008,Southbound,Light Vehicles,246,147,97,72,79,259,682,1091,1275,1182,1070,1283,1371,1280,1440,1738,2002,2329,2209,1298,950,658,667,593,0,0
2008,5/12/2008,Northbound,Light Vehicles,40,14,12,13,17,135,511,1068,1255,762,506,507,457,476,514,600,587,629,572,378,215,224,232,211,0,0
2008,5/12/2008,Northbound,Heavy Vehicles,2,7,3,5,8,17,47,50,72,56,48,44,48,36,21,27,31,13,14,8,9,7,4,2,0,0
2008,5/12/2008,Southbound,All Vehicles,254,150,102,75,89,271,735,1133,1337,1244,1144,1355,1454,1366,1506,1814,2052,2371,2268,1318,960,675,674,601,0,0
2008,5/12/2008,Northbound,All Vehicles,42,21,15,18,25,152,558,1118,1327,818,554,551,505,512,535,627,618,642,586,386,224,231,236,213,0,0
2008,6/12/2008,Northbound,Heavy Vehicles,3,3,4,8,4,5,28,35,24,26,31,28,18,15,10,16,14,10,10,7,7,5,4,7,0,0
2008,6/12/2008,Southbound,Heavy Vehicles,4,3,1,,8,8,15,19,20,32,28,27,16,31,23,16,14,16,15,12,5,6,7,4,0,0
2008,6/12/2008,Northbound,Light Vehicles,244,127,61,72,64,182,554,684,1015,1141,1258,1224,1244,996,1042,988,989,1055,1016,720,459,392,427,532,0,0
2008,6/12/2008,Southbound,Light Vehicles,348,193,148,116,117,183,393,578,817,1107,1245,1409,1401,1403,1318,1361,1311,1426,1326,986,601,525,696,642,0,0
2008,6/12/2008,Northbound,All Vehicles,247,130,65,80,68,187,582,719,1039,1167,1289,1252,1262,1011,1052,1004,1003,1065,1026,727,466,397,431,539,0,0
2008,6/12/2008,Southbound,All Vehicles,352,196,149,116,125,191,408,597,837,1139,1273,1436,1417,1434,1341,1377,1325,1442,1341,998,606,531,703,646,0,0
2008,7/12/2008,Southbound,Light Vehicles,445,219,136,100,109,118,218,318,498,811,929,1199,1260,1207,1243,1246,1258,1358,1084,754,654,587,501,264,0,0
2008,7/12/2008,Northbound,Light Vehicles,407,137,95,36,62,113,211,277,498,858,890,1098,1099,1005,948,942,1012,999,797,557,446,456,332,160,0,0
2008,7/12/2008,Southbound,Heavy Vehicles,3,3,2,4,3,5,5,7,4,14,5,14,14,9,9,7,11,13,6,4,3,6,4,2,0,0
2008,7/12/2008,Northbound,Heavy Vehicles,2,2,5,3,2,3,9,6,6,6,9,5,7,16,9,9,12,8,11,11,4,4,3,2,0,0
2008,7/12/2008,Southbound,All Vehicles,448,222,138,104,112,123,223,325,502,825,934,1213,1274,1216,1252,1253,1269,1371,1090,758,657,593,505,266,0,0
2008,7/12/2008,Northbound,All Vehicles,409,139,100,39,64,116,220,283,504,864,899,1103,1106,1021,957,951,1024,1007,808,568,450,460,335,162,0,0
2008,8/12/2008,Southbound,Heavy Vehicles,2,6,3,2,9,19,45,50,50,62,68,61,74,68,71,73,70,43,21,11,14,11,2,1,0,0
2008,8/12/2008,Northbound,Light Vehicles,65,31,19,39,67,363,1324,2505,2760,1694,1003,919,865,909,911,1115,1077,1309,1147,688,459,364,290,151,0,0
2008,8/12/2008,Northbound,Heavy Vehicles,1,2,5,6,8,21,82,117,85,80,81,75,71,56,45,56,36,26,20,12,9,7,1,2,0,0
2008,8/12/2008,Southbound,Light Vehicles,97,65,44,44,84,246,774,1374,1224,1191,976,1054,1111,1103,1301,1686,2013,2388,2020,1100,659,632,457,269,0,0
2008,8/12/2008,Southbound,All Vehicles,99,71,47,46,93,265,819,1424,1274,1253,1044,1115,1185,1171,1372,1759,2083,2431,2041,1111,673,643,459,270,0,0
2008,8/12/2008,Northbound,All Vehicles,66,33,24,45,75,384,1406,2622,2845,1774,1084,994,936,965,956,1171,1113,1335,1167,700,468,371,291,153,0,0
2008,10/12/2008,Northbound,Light Vehicles,89,36,28,38,75,364,1429,2426,2749,1835,1066,1036,1064,998,1035,1191,1143,1392,1230,795,457,468,444,243,0,0
2008,10/12/2008,Northbound,Heavy Vehicles,5,3,5,7,9,30,76,98,90,97,91,69,58,72,56,44,28,31,20,12,10,12,6,3,0,0
2008,10/12/2008,Southbound,Heavy Vehicles,4,6,6,5,8,17,36,36,58,58,85,84,80,73,77,66,66,42,37,12,15,13,4,6,0,0
2008,10/12/2008,Southbound,Light Vehicles,183,95,66,48,79,267,749,1174,1222,1230,1233,1090,1198,1274,1361,1755,1954,2419,2179,1174,742,687,668,394,0,0
2008,10/12/2008,Northbound,All Vehicles,94,39,33,45,84,394,1505,2524,2839,1932,1157,1105,1122,1070,1091,1235,1171,1423,1250,807,467,480,450,246,0,0
2008,10/12/2008,Southbound,All Vehicles,187,101,72,53,87,284,785,1210,1280,1288,1318,1174,1278,1347,1438,1821,2020,2461,2216,1186,757,700,672,400,0,0
2008,11/12/2008,Southbound,Light Vehicles,183,128,65,59,66,264,725,1144,1301,1114,1054,1193,1134,1210,1326,1707,2003,2357,1990,1182,834,840,747,416,0,0
2008,11/12/2008,Northbound,Light Vehicles,83,42,30,41,69,366,1285,2132,2362,2305,1231,1045,1018,1031,1016,1212,1155,1411,1189,762,486,503,471,327,0,0
2008,11/12/2008,Southbound,Heavy Vehicles,5,7,5,1,5,24,38,44,54,55,59,82,80,76,81,67,67,38,44,14,10,11,5,4,0,0
2008,11/12/2008,Northbound,Heavy Vehicles,2,2,5,7,7,22,64,98,83,121,85,75,60,68,67,56,37,24,23,12,12,10,1,4,0,0
2008,11/12/2008,Southbound,All Vehicles,188,135,70,60,71,288,763,1188,1355,1169,1113,1275,1214,1286,1407,1774,2070,2395,2034,1196,844,851,752,420,0,0
2008,11/12/2008,Northbound,All Vehicles,85,44,35,48,76,388,1349,2230,2445,2426,1316,1120,1078,1099,1083,1268,1192,1435,1212,774,498,513,472,331,0,0
2008,12/12/2008,Northbound,Light Vehicles,115,59,34,45,62,339,1263,2220,2547,1771,1166,1083,1080,957,1011,1202,1169,1198,1127,932,516,380,417,454,0,0
2008,12/12/2008,Northbound,Heavy Vehicles,3,5,7,4,13,30,66,103,90,74,82,73,53,59,73,37,31,25,18,8,3,8,11,5,0,0
